"시도별","모의 연령(5세계급)별","교육정도별","항목","단위","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","계","총계","출생[명]","명","465892","444849","470171","471265","484550","436455","435435","438420","406243","357771","326822","302676","272337","260562",
"전국","계","무학","출생[명]","명","352","377","379","384","371","265","269","237","153","149","244","238","281","205",
"전국","계","초등학교","출생[명]","명","1663","1580","1632","1638","1490","1343","1203","1075","924","811","607","644","551","434",
"전국","계","중고등학교","출생[명]","명","167397","150203","150424","143917","137969","116785","107723","102147","90332","76165","65569","58735","51110","44836",
"전국","계","중학교","출생[명]","명","8482","8123","8122","8436","8250","7410","6600","6031","5559","4806","4187","3964","3404","2834",
"전국","계","고등학교","출생[명]","명","158915","142080","142302","135481","129719","109375","101123","96116","84773","71359","61382","54771","47706","42002",
"전국","계","초대.전문대이상","출생[명]","명","292447","288879","313814","323625","343255","316848","324434","332582","311005","276099","255070","237054","213601","208489",
"전국","계","대학(교)","출생[명]","명","268460","264593","286636","295019","311734","286421","292219","299306","279666","247470","228164","211580","190368","185278",
"전국","계","대학원 이상","출생[명]","명","23987","24286","27178","28606","31521","30427","32215","33276","31339","28629","26906","25474","23233","23211",
"전국","계","미상","출생[명]","명","4033","3810","3922","1701","1465","1214","1806","2379","3829","4547","5332","6005","6794","6598",
"전국","15세미만","총계","출생[명]","명","46","27","34","19","29","20","22","16","15","6","8","10","11","8",
"전국","15세미만","무학","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세미만","초등학교","출생[명]","명","5","2","4","4","11","10","9","9","8","4","4","5","8","7",
"전국","15세미만","중고등학교","출생[명]","명","1","5","5","5","6","10","13","7","7","2","4","4","3","1",
"전국","15세미만","중학교","출생[명]","명","1","5","5","4","6","10","13","7","7","2","4","4","3","1",
"전국","15세미만","고등학교","출생[명]","명","0","0","0","1","0","0","0","0","0","0","0","0","0","0",
"전국","15세미만","초대.전문대이상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세미만","대학(교)","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세미만","대학원 이상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세미만","미상","출생[명]","명","40","20","25","10","12","0","0","0","0","0","0","1","0","0",
"전국","15 - 19세","총계","출생[명]","명","2728","2788","2900","2979","2917","2813","2527","2211","1907","1520","1292","1096","907","492",
"전국","15 - 19세","무학","출생[명]","명","14","11","8","13","7","9","7","6","1","1","5","2","5","2",
"전국","15 - 19세","초등학교","출생[명]","명","118","111","125","147","156","137","160","95","70","61","33","36","26","8",
"전국","15 - 19세","중고등학교","출생[명]","명","2024","2045","2202","2504","2505","2605","2314","2049","1773","1417","1198","1001","839","461",
"전국","15 - 19세","중학교","출생[명]","명","775","809","870","1004","1054","1141","919","774","725","545","474","385","311","164",
"전국","15 - 19세","고등학교","출생[명]","명","1249","1236","1332","1500","1451","1464","1395","1275","1048","872","724","616","528","297",
"전국","15 - 19세","초대.전문대이상","출생[명]","명","77","110","97","127","59","45","29","29","16","4","2","7","0","0",
"전국","15 - 19세","대학(교)","출생[명]","명","77","108","97","127","57","45","29","29","16","4","2","7","0","0",
"전국","15 - 19세","대학원 이상","출생[명]","명","0","2","0","0","2","0","0","0","0","0","0","0","0","0",
"전국","15 - 19세","미상","출생[명]","명","495","511","468","188","190","17","17","32","47","37","54","50","37","21",
