"시도별","부의 연령(5세계급)별","교육정도별","항목","단위","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","계","총계","출생[명]","명","465892","444849","470171","471265","484550","436455","435435","438420","406243","357771","326822","302676","272337","260562",
"전국","계","무학","출생[명]","명","252","243","255","245","230","161","189","173","151","141","148","149","168","99",
"전국","계","초등학교","출생[명]","명","1962","1660","1514","1361","1201","1052","903","818","667","616","431","410","320","295",
"전국","계","중고등학교","출생[명]","명","151914","138172","140163","136288","132569","114030","107162","104856","95256","82590","70773","64558","57801","52270",
"전국","계","중학교","출생[명]","명","8241","7427","7209","6944","6486","5759","5167","4749","4312","3722","3129","2852","2603","2162",
"전국","계","고등학교","출생[명]","명","143673","130745","132954","129344","126083","108271","101995","100107","90944","78868","67644","61706","55198","50108",
"전국","계","초대.전문대이상","출생[명]","명","306342","299072","322085","328094","344696","315501","321169","326530","303107","267425","247503","229125","205152","199359",
"전국","계","대학(교)","출생[명]","명","265245","259801","279974","285634","300656","274675","279897","285180","264772","232998","215377","199507","178338","172570",
"전국","계","대학원 이상","출생[명]","명","41097","39271","42111","42460","44040","40826","41272","41350","38335","34427","32126","29618","26814","26789",
"전국","계","미상","출생[명]","명","5422","5702","6154","5277","5854","5711","6012","6043","7062","6999","7967","8434","8896","8539",
"전국","15세 미만","총계","출생[명]","명","0","0","0","1","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","무학","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","초등학교","출생[명]","명","0","0","0","1","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","중고등학교","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","중학교","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","고등학교","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","초대.전문대이상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","대학(교)","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","대학원 이상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15세 미만","미상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15 - 19세","총계","출생[명]","명","533","459","603","749","768","726","701","614","524","316","254","202","142","91",
"전국","15 - 19세","무학","출생[명]","명","0","0","0","1","0","0","0","1","0","0","0","0","0","0",
"전국","15 - 19세","초등학교","출생[명]","명","10","10","26","27","27","18","24","13","15","7","5","1","0","1",
"전국","15 - 19세","중고등학교","출생[명]","명","463","413","549","685","717","689","656","592","498","302","239","189","135","85",
"전국","15 - 19세","중학교","출생[명]","명","141","144","213","280","274","256","222","173","168","109","75","59","52","24",
"전국","15 - 19세","고등학교","출생[명]","명","322","269","336","405","443","433","434","419","330","193","164","130","83","61",
"전국","15 - 19세","초대.전문대이상","출생[명]","명","41","26","19","29","14","8","15","6","2","3","1","2","1","0",
"전국","15 - 19세","대학(교)","출생[명]","명","41","26","19","29","14","8","15","6","2","3","1","2","1","0",
"전국","15 - 19세","대학원 이상","출생[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","15 - 19세","미상","출생[명]","명","19","10","9","7","10","11","6","2","9","4","9","10","6","5",
"전국","20 - 24세","총계","출생[명]","명","7050","5812","5877","6315","6211","6306","6360","6786","6522","5327","4350","3493","2862","2230",
"전국","20 - 24세","무학","출생[명]","명","4","1","1","3","3","6","2","2","2","3","4","5","0","2",
"전국","20 - 24세","초등학교","출생[명]","명","63","44","50","44","45","45","45","55","41","42","31","17","12","6",
"전국","20 - 24세","중고등학교","출생[명]","명","4537","3789","3999","4312","4344","4546","4661","5030","4953","4071","3289","2684","2200","1761",
"전국","20 - 24세","중학교","출생[명]","명","524","385","406","471","446","495","509","530","512","445","399","324","255","205",
"전국","20 - 24세","고등학교","출생[명]","명","4013","3404","3593","3841","3898","4051","4152","4500","4441","3626","2890","2360","1945","1556",
"전국","20 - 24세","초대.전문대이상","출생[명]","명","2267","1735","1810","1942","1804","1687","1630","1681","1486","1176","938","721","570","405",
"전국","20 - 24세","대학(교)","출생[명]","명","2240","1712","1788","1924","1783","1668","1613","1659","1471","1166","927","715","562","401",
"전국","20 - 24세","대학원 이상","출생[명]","명","27","23","22","18","21","19","17","22","15","10","11","6","8","4",
"전국","20 - 24세","미상","출생[명]","명","179","243","17","14","15","22","22","18","40","35","88","66","80","56",
"전국","25 - 29세","총계","출생[명]","명","83340","77502","73309","69549","63733","50479","46247","45153","40563","35206","31212","27894","24521","22284",
"전국","25 - 29세","무학","출생[명]","명","23","17","19","21","16","17","18","15","15","8","20","15","8","9",
"전국","25 - 29세","초등학교","출생[명]","명","166","147","138","142","113","86","97","94","73","59","41","50","42","31",
"전국","25 - 29세","중고등학교","출생[명]","명","30809","27438","26057","24080","21696","17062","15463","15221","13997","12679","11103","10360","9457","8910",
"전국","25 - 29세","중학교","출생[명]","명","1379","1278","1219","1152","1005","813","637","644","620","536","434","424","435","414",
"전국","25 - 29세","고등학교","출생[명]","명","29430","26160","24838","22928","20691","16249","14826","14577","13377","12143","10669","9936","9022","8496",
"전국","25 - 29세","초대.전문대이상","출생[명]","명","52080","49663","46973","45240","41842","33244","30577","29708","26304","22217","19598","17021","14490","12830",
"전국","25 - 29세","대학(교)","출생[명]","명","49126","46936","44414","42653","39407","31229","28750","28020","24872","20993","18526","16108","13663","12155",
"전국","25 - 29세","대학원 이상","출생[명]","명","2954","2727","2559","2587","2435","2015","1827","1688","1432","1224","1072","913","827","675",
"전국","25 - 29세","미상","출생[명]","명","262","237","122","66","66","70","92","115","174","243","450","448","524","504",
"전국","30 - 34세","총계","출생[명]","명","209270","195345","205354","205090","215753","193995","193602","187484","164694","134872","116784","103735","92679","88068",
"전국","30 - 34세","무학","출생[명]","명","42","62","62","62","49","35","50","54","45","43","46","42","46","30",
"전국","30 - 34세","초등학교","출생[명]","명","248","195","202","191","207","203","190","165","130","131","78","76","60","39",
"전국","30 - 34세","중고등학교","출생[명]","명","56033","48351","48557","47167","47569","41175","38809","36741","31425","25077","20110","17623","15979","14907",
"전국","30 - 34세","중학교","출생[명]","명","1593","1357","1365","1362","1471","1337","1397","1272","1048","866","659","548","486","380",
"전국","30 - 34세","고등학교","출생[명]","명","54440","46994","47192","45805","46098","39838","37412","35469","30377","24211","19451","17075","15493","14527",
"전국","30 - 34세","초대.전문대이상","출생[명]","명","152459","146129","156233","157485","167718","152319","154116","149978","132101","108522","94992","84291","74526","71129",
"전국","30 - 34세","대학(교)","출생[명]","명","131781","127520","137282","139420","149348","135424","137029","133199","117197","96223","83970","74821","66141","63085",
"전국","30 - 34세","대학원 이상","출생[명]","명","20678","18609","18951","18065","18370","16895","17087","16779","14904","12299","11022","9470","8385","8044",
"전국","30 - 34세","미상","출생[명]","명","488","608","300","185","210","263","437","546","993","1099","1558","1703","2068","1963",
"전국","35 - 39세","총계","출생[명]","명","127976","126166","137984","138749","142641","131473","133148","140994","138323","129431","123549","116665","103406","99024",
"전국","35 - 39세","무학","출생[명]","명","55","47","60","48","61","40","40","42","44","42","32","41","50","23",
"전국","35 - 39세","초등학교","출생[명]","명","362","285","273","240","205","190","149","141","129","132","79","86","77","65",
"전국","35 - 39세","중고등학교","출생[명]","명","43427","40907","41375","39147","36720","30672","28435","28547","27185","24806","21863","20028","17353","15213",
"전국","35 - 39세","중학교","출생[명]","명","2020","1824","1635","1382","1224","992","852","848","874","746","706","687","620","497",
"전국","35 - 39세","고등학교","출생[명]","명","41407","39083","39740","37765","35496","29680","27583","27699","26311","24060","21157","19341","16733","14716",
"전국","35 - 39세","초대.전문대이상","출생[명]","명","83886","84571","95999","99129","105461","100363","104121","111708","109867","103164","99840","94311","83476","81443",
"전국","35 - 39세","대학(교)","출생[명]","명","69374","69875","79125","81917","87594","83771","87657","95174","94069","88111","85573","80645","71225","69030",
"전국","35 - 39세","대학원 이상","출생[명]","명","14512","14696","16874","17212","17867","16592","16464","16534","15798","15053","14267","13666","12251","12413",
"전국","35 - 39세","미상","출생[명]","명","246","356","277","185","194","208","403","556","1098","1287","1735","2199","2450","2280",
"전국","40 - 44세","총계","출생[명]","명","27005","28816","34232","37866","41606","40043","41732","43404","41444","38723","36679","36314","35303","36156",
"전국","40 - 44세","무학","출생[명]","명","62","50","46","49","47","28","33","22","20","22","21","19","19","15",
"전국","40 - 44세","초등학교","출생[명]","명","471","402","287","248","196","149","126","128","77","70","58","60","42","57",
"전국","40 - 44세","중고등학교","출생[명]","명","12993","13590","15447","16263","16798","15195","14441","13876","12345","10894","9302","8716","8063","7414",
"전국","40 - 44세","중학교","출생[명]","명","1522","1440","1319","1228","1128","996","809","625","543","452","359","322","310","284",
"전국","40 - 44세","고등학교","출생[명]","명","11471","12150","14128","15035","15670","14199","13632","13251","11802","10442","8943","8394","7753","7130",
"전국","40 - 44세","초대.전문대이상","출생[명]","명","13406","14665","18338","21223","24470","24571","26960","29119","28567","27267","26666","26779","26331","27709",
"전국","40 - 44세","대학(교)","출생[명]","명","11010","11977","15248","17328","19877","19924","21792","23687","23302","22382","21911","22335","22009","23150",
"전국","40 - 44세","대학원 이상","출생[명]","명","2396","2688","3090","3895","4593","4647","5168","5432","5265","4885","4755","4444","4322","4559",
"전국","40 - 44세","미상","출생[명]","명","73","109","114","83","95","100","172","259","435","470","632","740","848","961",
"전국","45 - 49세","총계","출생[명]","명","5371","5398","6093","6506","6848","6723","7105","7854","8323","8394","8671","9026","8355","7922",
"전국","45 - 49세","무학","출생[명]","명","39","46","43","31","28","10","16","20","13","11","11","11","20","8",
"전국","45 - 49세","초등학교","출생[명]","명","478","410","360","271","228","192","127","85","76","60","47","38","33","30",
"전국","45 - 49세","중고등학교","출생[명]","명","3010","3024","3401","3666","3774","3710","3761","3937","3926","3776","3783","3711","3272","2788",
